dataset,index,M,N,K,GFLOPs,Time (ms)
cora,0,2708,16,1433,4458.368583,0.027853ms
citeseer,0,3327,16,3703,5875.563074,0.067098ms
pubmed,0,19717,16,500,5186.063725,0.060831ms
ppi,0,56944,16,50,4403.613181,0.020690ms
amazon0505,0,410236,16,96,6834.418955,0.184397ms
artist,0,50515,16,100,5853.146913,0.027617ms
com-amazon,0,334863,16,96,6747.415853,0.152458ms
soc-BlogCatalog,0,88784,16,128,5634.396500,0.064543ms
amazon0601,0,403394,16,96,6836.221103,0.181274ms
PROTEINS_full,0,43466,16,29,3035.920075,0.013286ms
OVCAR-8H,0,1889542,16,66,6151.726897,0.648714ms
Yeast,0,1710902,16,74,6488.554453,0.624394ms
DD,0,334925,16,89,6225.215649,0.153226ms
TWITTER-Real-Graph-Partial,0,580768,16,1323,7550.882845,3.256228ms
SW-620H,0,1888584,16,66,6177.520043,0.645678ms
cora,1,2708,7,16,110.414723,0.005494ms
citeseer,1,3327,6,16,114.251368,0.005591ms
pubmed,1,19717,3,16,275.069757,0.006881ms
ppi,1,56944,121,16,7932.197271,0.027796ms
amazon0505,1,410236,22,16,4572.959197,0.063155ms
artist,1,50515,12,16,2040.185724,0.009508ms
com-amazon,1,334863,22,16,4425.573072,0.053268ms
soc-BlogCatalog,1,88784,39,16,5350.086746,0.020710ms
amazon0601,1,403394,22,16,4557.656121,0.062310ms
PROTEINS_full,1,43466,2,16,294.166219,0.009457ms
OVCAR-8H,1,1889542,2,16,552.032811,0.219064ms
Yeast,1,1710902,2,16,549.069962,0.199424ms
DD,1,334925,2,16,544.983415,0.039332ms
TWITTER-Real-Graph-Partial,1,580768,2,16,530.672520,0.070042ms
SW-620H,1,1888584,2,16,552.747659,0.218670ms
