dataset,M,N,K,TFLOPs,Time (ms)
cora,2708,16,1433,5.330444836,0.023296ms
citeseer,3327,16,3703,6.786466999,0.058092ms
pubmed,19717,16,500,7.625696109,0.041370ms
ppi,56944,16,50,2.409940451,0.037806ms
amazon0505,410236,16,96,7.376797320,0.170839ms
artist,50515,16,100,7.006630279,0.023071ms
com-amazon,334863,16,96,7.114149279,0.144599ms
soc-BlogCatalog,88784,16,128,7.142001300,0.050918ms
amazon0601,403394,16,96,8.100552217,0.152980ms
DD,334925,16,89,6.228753962,0.153139ms
TWITTER-Real-Graph-Partial,580768,16,1323,7.774465994,3.162583ms
